Rank,1QB,SF
1,Ja'Marr Chase,Josh Allen
2,Bijan Robinson,Lamar Jackson
3,Saquon Barkley,Jalen Hurts
4,Jahmyr Gibbs,Jayden Daniels
5,Christian McCaffrey,Joe Burrow
6,Justin Jefferson,Patrick Mahomes
7,CeeDee Lamb,Baker Mayfield
8,Derrick Henry,Kyler Murray
9,Malik Nabers,Bo Nix
10,Puka Nacua,Brock Purdy
11,Brian Thomas,Drake Maye
12,Drake London,Caleb Williams
13,Devon Achane,Jordan Love
14,Ashton Jeanty,Trevor Lawrence
15,Amon-Ra St. Brown,Jared Goff
16,Nico Collins,C.J. Stroud
17,Bucky Irving,Justin Herbert
18,Josh Jacobs,Justin Fields
19,Jonathan Taylor,Dak Prescott
20,A.J. Brown,Matthew Stafford
21,Ladd McConkey,Bryce Young
22,Josh Allen,Michael Penix
23,Brock Bowers,Geno Smith
24,Tee Higgins,J.J. McCarthy
25,Lamar Jackson,Tua Tagovailoa
26,Alvin Kamara,Joe Flacco
27,Chase Brown,Sam Darnold
28,Kyren Williams,Cameron Ward
29,Jalen Hurts,Daniel Jones
30,Trey McBride,Russell Wilson
31,Jaxon Smith-Njigba,Aaron Rodgers
32,Marvin Harrison,Spencer Rattler
33,Davante Adams,Ja'Marr Chase
34,Jayden Daniels,Bijan Robinson
35,Garrett Wilson,Saquon Barkley
36,Kenneth Walker,Jahmyr Gibbs
37,Chuba Hubbard,Christian McCaffrey
38,James Conner,Justin Jefferson
39,Mike Evans,CeeDee Lamb
40,Tyreek Hill,Derrick Henry
41,Courtland Sutton,Malik Nabers
42,Terry McLaurin,Puka Nacua
43,George Kittle,Brian Thomas
44,Omarion Hampton,Drake London
45,James Cook,Devon Achane
46,TreVeyon Henderson,Ashton Jeanty
47,Breece Hall,Amon-Ra St. Brown
48,Tetairoa McMillan,Nico Collins
49,DeVonta Smith,Bucky Irving
50,Rome Odunze,Josh Jacobs
51,Xavier Worthy,Jonathan Taylor
52,Chris Olave,A.J. Brown
53,DJ Moore,Ladd McConkey
54,DK Metcalf,Brock Bowers
55,Jameson Williams,Tee Higgins
56,Calvin Ridley,Alvin Kamara
57,George Pickens,Chase Brown
58,Travis Hunter,Kyren Williams
59,Sam LaPorta,Trey McBride
60,Joe Burrow,Jaxon Smith-Njigba
61,David Montgomery,Marvin Harrison
62,Aaron Jones,Davante Adams
63,Tony Pollard,Garrett Wilson
64,Tyrone Tracy,Kenneth Walker
65,Isiah Pacheco,Chuba Hubbard
66,Zay Flowers,James Conner
67,Jaylen Waddle,Mike Evans
68,Emeka Egbuka,Tyreek Hill
69,D'Andre Swift,Courtland Sutton
70,RJ Harvey,Terry McLaurin
71,Patrick Mahomes,George Kittle
72,Baker Mayfield,Omarion Hampton
73,Stefon Diggs,James Cook
74,Matthew Golden,TreVeyon Henderson
75,Jerry Jeudy,Breece Hall
76,Josh Downs,Tetairoa McMillan
77,Ricky Pearsall,DeVonta Smith
78,Jayden Reed,Rome Odunze
79,Darnell Mooney,Xavier Worthy
80,Jauan Jennings,Chris Olave
81,Khalil Shakir,DJ Moore
82,Kyler Murray,DK Metcalf
83,Cooper Kupp,Jameson Williams
84,Jakobi Meyers,Calvin Ridley
85,Bo Nix,George Pickens
86,Brock Purdy,Travis Hunter
87,Deebo Samuel,Sam LaPorta
88,Michael Pittman,David Montgomery
89,Drake Maye,Aaron Jones
90,Caleb Williams,Tony Pollard
91,Tyler Warren,Tyrone Tracy
92,Travis Kelce,Isiah Pacheco
93,Evan Engram,Zay Flowers
94,T.J. Hockenson,Jaylen Waddle
95,David Njoku,Emeka Egbuka
96,Travis Etienne,D'Andre Swift
97,Jerome Ford,RJ Harvey
98,Rhamondre Stevenson,Stefon Diggs
99,Austin Ekeler,Matthew Golden
100,Jacory Croskey-Merritt,Jerry Jeudy
101,J.K. Dobbins,Josh Downs
102,Kaleb Johnson,Ricky Pearsall
103,Javonte Williams,Jayden Reed
104,Rachaad White,Darnell Mooney
105,Jaylen Warren,Jauan Jennings
106,Keon Coleman,Khalil Shakir
107,Rashod Bateman,Cooper Kupp
108,Rashid Shaheed,Jakobi Meyers
109,Cedric Tillman,Deebo Samuel
110,Christian Kirk,Michael Pittman
111,Keenan Allen,Tyler Warren
112,Adam Thielen,Travis Kelce
113,Mark Andrews,Evan Engram
114,Tucker Kraft,T.J. Hockenson
115,Jordan Love,David Njoku
116,Trevor Lawrence,Travis Etienne
117,Jared Goff,Jerome Ford
118,C.J. Stroud,Rhamondre Stevenson
119,Justin Herbert,Austin Ekeler
120,Justin Fields,Jacory Croskey-Merritt
121,Dak Prescott,J.K. Dobbins
122,Jonnu Smith,Kaleb Johnson
123,Jordan Mason,Javonte Williams
124,Cam Skattebo,Rachaad White
125,Tank Bigsby,Jaylen Warren
126,Dylan Sampson,Keon Coleman
127,Zach Charbonnet,Rashod Bateman
128,Nick Chubb,Rashid Shaheed
129,Tyler Allgeier,Cedric Tillman
130,Trey Benson,Christian Kirk
131,Braelon Allen,Keenan Allen
132,Joshua Palmer,Adam Thielen
133,Romeo Doubs,Mark Andrews
134,Wan'Dale Robinson,Tucker Kraft
135,Jayden Higgins,Jonnu Smith
136,Xavier Legette,Jordan Mason
137,Marvin Mims,Cam Skattebo
138,Marquise Brown,Tank Bigsby
139,DeMario Douglas,Dylan Sampson
140,DeAndre Hopkins,Zach Charbonnet
141,Hunter Henry,Nick Chubb
142,Dallas Goedert,Tyler Allgeier
143,Jake Ferguson,Trey Benson
144,Zach Ertz,Braelon Allen
145,Dalton Kincaid,Joshua Palmer
146,Luther Burden,Romeo Doubs
147,Matthew Stafford,Wan'Dale Robinson
148,Kyle Pitts,Jayden Higgins
149,Colston Loveland,Xavier Legette
150,Cade Otton,Marvin Mims
151,Brenton Strange,Marquise Brown
152,Dalton Schultz,DeMario Douglas
153,Ray Davis,DeAndre Hopkins
154,Bhayshul Tuten,Hunter Henry
155,Dont'e Thornton,Dallas Goedert
156,Kyle Williams,Jake Ferguson
157,Alec Pierce,Zach Ertz
158,Jack Bech,Dalton Kincaid
159,Najee Harris,Luther Burden
160,Ollie Gordon II,Kyle Pitts
161,Justice Hill,Colston Loveland
162,Dameon Pierce,Cade Otton
163,Chris Rodriguez,Brenton Strange
164,Brian Robinson,Dalton Schultz
165,Woody Marks,Ray Davis
166,Bryce Young,Bhayshul Tuten
167,Michael Penix,Dont'e Thornton
168,Geno Smith,Kyle Williams
169,J.J. McCarthy,Alec Pierce
170,Rico Dowdle,Jack Bech
171,Kareem Hunt,Najee Harris
172,Miles Sanders,Ollie Gordon II
173,Jaydon Blue,Justice Hill
174,Kendre Miller,Dameon Pierce
175,Tua Tagovailoa,Chris Rodriguez
176,Chigoziem Okonkwo,Brian Robinson
177,Pat Freiermuth,Woody Marks
178,Ja'Tavion Sanders,Rico Dowdle
179,Mike Gesicki,Kareem Hunt
180,Joe Flacco,Miles Sanders
181,Sam Darnold,Jaydon Blue
182,Cameron Ward,Kendre Miller
183,Mason Taylor,Chigoziem Okonkwo
184,Juwan Johnson,Pat Freiermuth
185,Elijah Arroyo,Ja'Tavion Sanders
186,Theo Johnson,Mike Gesicki
187,Daniel Jones,Mason Taylor
188,Russell Wilson,Juwan Johnson
189,Aaron Rodgers,Elijah Arroyo
190,Spencer Rattler,Theo Johnson
